A0AUP1	0.360992	-0.0775284	0.0325038	0.171187	0.152769	0.0134718	-0.151889	0.0693762	<nodata>	-0.0345554	<nodata>	0.0521138	<nodata>	-0.41313	<nodata>	0.136422	<nodata>	-0.912281	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00810028	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88643	-0.66996	<nodata>	0.191675	0.556942	-0.745989	<nodata>	0.291594	0.116986	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0787897	-0.124672	0.0139201	0.137001	0.0598972	0.145323	-0.127012	0.229723	0.0987484	0.187756	-0.0507837	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88653	-0.0680735	<nodata>	0.47631	0.224419	-0.148971	<nodata>	<nodata>	0.313845	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0913327	0.151519	-0.126556	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88662	-0.490723	1.02669	0.141477	<nodata>	-0.0946211	0.202854	-0.413369	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.203369	-0.204232	-0.236076	0.196124	<nodata>	<nodata>	<nodata>	<nodata>	0.762307	<nodata>	0.317971	<nodata>	0.908899	<nodata>	-0.451788
O88668	-0.438966	0.164964	0.0429276	-0.0192529	-0.298206	-0.294659	-0.371079	-0.0198801	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88685	-0.075969	0.331503	0.429161	0.271485	-0.100473	0.25026	0.233268	0.402808	-0.431186	0.406758	0.410604	-0.0953812	0.131453	0.453233	0.22138	0.126876	-0.128878	0.690178	0.308169	-0.389344	0.109225	0.14099	0.216634	0.348039	0.221897	0.340724	-0.00242835	0.0645658	0.0121589	-0.0625965	0.0523875	0.0694677	-0.0992289	-0.0703561	0.33499	-0.179997	0.103113	0.356451	0.0564621	-0.167211	-0.176595	0.586345
O88696	-0.531223	0.213313	<nodata>	<nodata>	-0.139745	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.483521	0.0224827	-0.0362369	<nodata>	-0.142282	0.148874	<nodata>	<nodata>	-0.478599	0.38652	<nodata>
O88712	0.196103	0.228672	-0.402493	-0.13824	-0.0105364	-0.301832	-0.365542	-0.240276	-0.202349	0.0395381	-0.195518	-0.246605	<nodata>	0.151978	-0.459986	<nodata>	0.149276	0.103276	-0.118476	-0.0459555	-0.0262425	-0.515888	<nodata>	0.205243	0.0501134	-0.188968	-0.0068938	-0.128564	0.132678	0.374896	<nodata>	-0.510456	-0.97912	-0.746786	0.0187242	0.120943	0.0213574	<nodata>	0.256898	0.0532253	-0.137685	0.0731491
O88746	0.054311	-0.0612012	<nodata>	<nodata>	-0.364969	-0.0661305	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88783	-0.0838349	<nodata>	0.143727	-0.0554465	-0.456664	<nodata>	-0.0506352	0.0175478	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88792	0.104177	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.477801	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.254104	0.0555847	-0.0856271	0.256596	0.00403068	0.125111	-0.322855	<nodata>	-0.163183	0.205666	-0.458348	-0.344949	-0.311321	-0.591607	0.22444	0.171578	-0.0614536	-0.172097	0.22291	0.0444941	-0.100567	-0.556964
O88811	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.355208	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88844	-0.0611218	0.0654999	-0.145406	-0.258597	-0.108791	0.0510849	-0.289685	-0.353312	-0.0615072	0.0310823	0.0494073	-0.248366	-0.191443	0.0487363	-0.0956356	-0.336534	0.000386712	-0.0345929	-0.248747	0.135328	0.01016	-0.172438	-0.236836	-0.28676	0.0497809	-0.0879462	-0.294594	-0.0178141	0.0232682	-0.0386775	-0.397601	-0.102182	-0.0730363	-0.317095	-0.0394335	0.0816455	0.012454	-0.242573	0.00996049	0.154	-0.0239955	-0.201134
O88851	-0.201178	-0.149943	-0.19464	-0.565406	-0.420309	-0.267073	-0.530617	-0.205597	0.589085	0.230387	<nodata>	<nodata>	0.175526	-0.225247	<nodata>	<nodata>	-0.123003	<nodata>	<nodata>	<nodata>	-0.248617	-0.317342	<nodata>	-0.302863	0.340995	-0.0871914	-0.353145	-0.138956	-0.0898758	<nodata>	<nodata>	-0.165951	-0.104563	-0.401637	-0.0518453	-0.235212	-0.0992046	-0.340072	-0.317519	-0.242571	-0.0816115	-0.253441
O88895	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0719585	-0.00641766	0.0141538	-0.0226406	-0.0774552	-0.0287424	0.125893	-0.0511676	-0.0810945	-0.0757782	-0.296758	0.388335	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88910	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0983855	-0.148646	0.0198147	-0.123914	-0.0196095	-0.196349	-0.00128422	-0.0604232	<nodata>	<nodata>	<nodata>	-0.0335516	0.0371607	0.196606	-0.0819073	-0.0375091	0.0418491	0.142577	-0.0526448
O88947	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88952	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.00482277	-0.127076	-0.145202	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88958	-0.196944	<nodata>	<nodata>	-0.688013	0.504324	<nodata>	<nodata>	-0.249778	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O88986	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.199232	<nodata>	<nodata>	<nodata>	0.100847	<nodata>	<nodata>	<nodata>	-0.078136	<nodata>	0.299628	0.159369	<nodata>	0.483548	-0.161057	0.33705	-0.368195	<nodata>	<nodata>	-0.481813	0.124419	<nodata>	-0.350859	<nodata>	<nodata>	<nodata>	-0.187365	<nodata>	<nodata>	<nodata>	0.0832648	<nodata>
O88990	0.00750114	-0.0362849	-0.0475438	0.108067	0.073811	-0.0166567	-0.18707	-0.000727379	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0569034	0.0295722	-0.0150413	-0.145196	-0.0249913	-0.0920789	0.120155	-0.0470139	-0.204293	-0.474641	-0.395387	-0.23426	0.180812	0.21446	0.548533	-0.182387	-0.0915236	0.0201418	0.699508
O89017	0.033899	0.318369	0.119058	-0.0565752	-0.0238357	0.381004	-0.0517873	-0.249639	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.440984	-0.348272	0.499338	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O89020	0.133751	0.308656	-0.10692	0.38981	-0.0399698	0.101504	0.181281	0.258946	<nodata>	<nodata>	-0.109318	0.177511	<nodata>	<nodata>	0.51939	0.0877756	<nodata>	<nodata>	0.185569	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.658375	-0.105706	-0.0822448	0.368333	0.545188	-0.221675	0.0597482	0.27908	-0.103116	<nodata>	0.220556	<nodata>	-0.503081	<nodata>	-0.020257	<nodata>
O89023	-0.216215	0.0275224	-0.0305817	-0.556152	0.0313143	-0.0906858	-0.549427	-0.42	-0.104095	0.238841	-0.124096	<nodata>	-0.185231	-0.127983	<nodata>	<nodata>	0.103855	-0.471931	<nodata>	0.0440229	0.167773	0.0364549	-0.0845944	-0.56266	0.180093	-0.374971	0.448712	0.0795804	-0.0931041	-0.25644	-0.628008	-0.0257828	-0.744893	-1.03368	-0.0792603	-0.216448	0.259531	<nodata>	-0.103639	0.781959	0.330131	<nodata>
O89053	-0.0733729	0.269616	0.291323	0.604928	-0.0930141	0.256432	0.245559	0.6152	-0.316971	0.0130833	0.0329383	0.411345	-0.335268	0.0284935	0.197592	0.370763	-0.143257	-0.0817133	0.388176	-0.477115	0.242352	0.0564489	0.63932	0.0645707	0.00704388	0.119808	0.410103	-0.0732269	0.156724	0.386165	0.379335	-0.316924	0.0136144	0.180508	-0.0492567	0.32707	0.219414	0.354233	-0.158121	0.456352	0.386221	0.379277
O89079	0.370697	0.0576802	0.251375	0.299857	-0.119885	0.199508	0.0213545	-0.091404	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.15937	0.0701729	0.0129747	<nodata>	-0.349864	-0.294875	0.121035	0.232112	0.26199	<nodata>	-0.413849	<nodata>	<nodata>	0.067403	0.192643	0.0588015	0.291145	<nodata>	-0.330534	<nodata>	0.336283	0.346868	<nodata>	<nodata>	<nodata>	0.177836	<nodata>	<nodata>
O89086	-0.109355	-0.0927184	0.251553	0.749906	0.00796111	0.0712827	0.393132	0.768653	-0.0560225	0.0387627	0.0911714	0.610555	-0.138067	-0.0151346	0.271042	0.865645	0.140167	-0.0167248	0.455313	-0.621356	0.0166161	0.19222	0.469511	0.00508757	0.124685	-0.0329476	0.462155	-0.0641714	0.135361	0.420822	0.459732	-0.514295	-0.124107	-0.147707	-0.102653	0.113925	-0.326145	0.824479	0.0857571	0.269423	-0.0705444	0.925645
O89090	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.448094	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O89103	0.169422	-0.116146	-0.0575758	-0.068614	0.120259	-0.0199195	-0.102233	-0.378368	-0.0303287	0.19206	0.0795609	-0.181322	-0.567298	-0.0665525	0.376727	0.0485275	-0.20352	-0.172061	0.122035	0.178765	-0.147273	0.14535	-0.0182189	-0.263038	0.0790542	0.180742	0.242657	0.0329462	0.242875	-0.136461	-0.0321293	0.0645699	0.0771639	0.128829	0.386911	<nodata>	<nodata>	0.207929	0.149556	<nodata>	<nodata>	0.073339
O89110	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0285348	0.71558	-0.371703	0.286599	-0.0636593	0.175749	-0.409666	-0.303655
P00015	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.711555	-0.115004	-0.219813	-0.0529962	-0.0396331	0.0935368	-0.309297	-0.302835	-0.0720904	-0.0801964	-0.225734	0.273095	-0.047151	-0.0685209	-0.108308	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.531277	-0.335401	-0.616947	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
P00158	0.123048	0.11257	-0.108585	-0.260512	0.0595369	-0.0641424	-0.135359	-0.251232	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.332919	-0.0973394	-0.0862815	-0.105371	-0.141538	0.0951241	-0.089853	-0.309131	<nodata>	<nodata>	<nodata>	-0.149059	1.00205	0.00763227	-0.0501555	-0.413251	0.514861	-0.572018	-0.356999
P00329	0.0889411	0.0448889	-0.0514438	-0.0215991	0.038448	-0.00371998	-0.268803	-0.191264	0.0121651	0.137851	-0.0704611	-0.18911	0.128904	0.0788138	-0.189851	-0.362635	0.0427323	-0.117713	-0.315574	<nodata>	-0.130306	0.0546955	-0.333364	-0.0967963	-0.0139747	0.0217875	-0.410949	0.0123065	0.140018	-0.576274	-0.481788	-0.0867145	-0.0714663	-0.333706	-0.00129128	-0.103308	-0.034647	-0.213791	0.0296681	-0.108466	-0.0292537	-0.241159
P00342	0.128059	-0.118331	-0.268644	-0.540626	0.0986704	-0.176543	-0.331642	-0.668467	-0.0206321	-0.0641704	-0.165744	-0.439238	-0.0713284	-0.0474296	-0.264234	<nodata>	0.0705911	0.00265516	-0.424609	<nodata>	-0.00749991	-0.265243	-0.481393	0.124378	0.0201619	0.0247886	-0.0217219	-0.045166	0.0406112	-0.0479147	-0.0910102	-0.173396	-0.153524	-0.149117	-0.251253	0.0624299	0.200917	0.116883	-0.0480438	-0.0607961	0.273906	-0.0527452
P00405	0.229555	-0.0444984	0.0457574	-0.289112	0.179583	-0.0140794	-0.0947394	-0.63373	-0.0976339	-0.0508336	-0.0554457	-0.241914	-0.239404	-0.0670753	-0.114014	-0.176876	-0.149993	-0.0751006	-0.226092	0.148522	0.17526	0.03091	-0.0129443	0.00296862	0.0132592	0.144115	-0.237175	0.202479	0.00979449	-0.171374	-0.274621	-0.596403	-0.637077	-0.513944	0.0103949	-0.653682	-0.0324604	-0.36926	-0.540446	0.0261391	-0.125576	-0.600576
P00416	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.691097	-0.138235	-0.306307	-0.400738	0.247393	<nodata>	0.0366811	-0.491976	0.127627	<nodata>	-0.0247415
P00493	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.127024	<nodata>	<nodata>	0.121654	0.632452	-0.0793605	0.0739765	-0.0886067	0.629316	0.313996	0.1613
P00687	<nodata>	<nodata>	<nodata>	<nodata>	-0.243652	<nodata>	0.674925	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
P00688	<nodata>	<nodata>	<nodata>	<nodata>	-0.243652	<nodata>	0.674925	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
P00920	0.055723	-0.184162	-0.202742	-0.262441	-0.0274415	-0.0624371	-0.154976	-0.294325	0.0543104	0.0342245	-0.179051	0.0106463	-0.281111	-0.158713	-0.0530775	-0.068165	0.0589407	-0.0460749	-0.115823	0.255401	-0.0799014	0.0156724	-0.247928	-0.043364	0.0925027	-0.0102466	-0.172596	-0.0313118	-0.0319571	0.0242598	-0.307138	-0.181072	-0.0413593	-0.242651	0.113016	0.105917	-0.122891	-0.236971	0.100076	0.0965729	-0.24021	-0.321003
P01027	0.207549	-0.251898	0.181909	0.905827	0.0101469	8.20102e-05	0.581069	0.872196	0.069089	-0.0888242	0.532326	0.844272	-0.0598788	0.131861	0.797578	0.826601	-0.0589525	0.260435	1.11992	-0.785274	0.152655	0.465964	0.829543	-0.000100289	0.0396536	0.20818	0.88789	-0.0592538	0.212215	0.59718	0.781817	0.0178235	0.390507	0.797652	-0.0130925	0.0741205	0.251626	0.844083	0.18887	0.281793	0.548121	0.945483
P01592	-0.179977	0.0492604	-0.0590284	-0.264336	-0.0539396	0.170147	-0.151555	-0.256759	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.075939	-0.123978	0.24994	0.145107	-0.0300353	-0.0712158	0.101005	-0.43897	-0.0537928	-0.0360902	-0.0871925	-0.263612	-0.144105	-0.499338	<nodata>	0.35744	0.710226	-0.054192	-0.909387	0.418568	0.761503	<nodata>	-0.515063
P01631	0.326607	-0.41137	0.137342	0.614213	-0.00308576	-0.0474215	-0.240161	0.445394	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.292285	0.2829	1.03681	-0.076007	-0.0775593	0.0758148	-0.0908157	-0.184695	-0.472769	-0.387693	-0.1016
P01633	-0.11085	<nodata>	<nodata>	<nodata>	0.26803	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0931248	<nodata>	<nodata>	<nodata>	<nodata>	-0.194889	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.356011	-0.116903	0.0736879	0.311319	-0.0776478	0.167278	0.480395	0.474323	-0.452682	-0.183437	-0.144096	1.05125	<nodata>	-0.572267	0.0507385	0.153196	<nodata>	-0.287063	-0.0105854
P01635	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.54914	-0.040359	0.239511	0.757123	<nodata>	0.133233	<nodata>	0.21592	1.03384	<nodata>	-0.0304877	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.405146	<nodata>	0.551004	0.914345	<nodata>	<nodata>	1.16776
P01636	0.12246	<nodata>	-0.126386	<nodata>	<nodata>	<nodata>	0.315578	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
P01637	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.304598	<nodata>	-0.132444	<nodata>	0.0887034	<nodata>	-0.117881	<nodata>
P01638	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
P01639	<nodata>	<nodata>	0.447125	-0.262413	<nodata>	0.805099	-0.423314	0.630013	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.276859	-0.236544	-0.216286	0.0377187	0.000258121	-0.0372691	0.0541504	0.0284441	0.0405332	0.00722669	-0.0104652
P01641	<nodata>	<nodata>	0.447125	-0.262413	<nodata>	0.805099	-0.423314	0.630013	<nodata>	-0.21248	-0.130331	-0.193779	-0.692894	-0.152455	-0.363115	-0.436619	<nodata>	-0.0609419	-0.488578	-0.362022	<nodata>	0.56879	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.276859	-0.236544	-0.216286	-0.105232	-0.189965	-0.283163	-0.723043	-0.0763851	-0.0829404	-0.111253	-0.0264026
P01642	0.28744	<nodata>	<nodata>	<nodata>	0.0914242	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
P01643	<nodata>	<nodata>	<nodata>	0.876095	<nodata>	<nodata>	<nodata>	0.803295	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.224296	0.0426173	0.276502	-0.0265418	-0.380118	-0.43775	-0.657896	-0.730674	0.188414	0.033287	-0.336582	-0.455482	0.042969	-0.163241	<nodata>
P01644	<nodata>	<nodata>	-0.0218975	<nodata>	<nodata>	<nodata>	0.110433	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.224296	0.0426173	0.276502	-0.0265418	-0.380118	-0.43775	-0.657896	0.0330816	0.128948	-0.170141	0.214222	-0.0203458	0.33246	-0.120998	0.31916
P01645	<nodata>	<nodata>	-0.0218975	<nodata>	<nodata>	<nodata>	0.110433	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.224296	0.0426173	0.276502	-0.0265418	-0.380118	-0.43775	-0.657896	0.229458	<nodata>	0.15096	<nodata>	0.109565	<nodata>	<nodata>	<nodata>
P01646	<nodata>	<nodata>	-0.0218975	<nodata>	<nodata>	<nodata>	0.110433	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.189192	-0.0034302	-0.0390773	0.0344953	-0.415657	-0.0167119	0.15354	0.170042	-0.361852	-0.175418	0.255941
